,port_code,port_city,port_state
0,ANC,ANCHORAGE, AK
1,BAR,BAKER AAF - BAKER ISLAND, AK
2,DAC,DALTONS CACHE, AK
3,PIZ,DEW STATION PT LAY DEW, AK
4,DTH,DUTCH HARBOR, AK
5,EGL,EAGLE, AK
6,FRB,FAIRBANKS, AK
7,HOM,HOMER, AK
8,HYD,HYDER, AK
9,JUN,JUNEAU, AK
10,5KE,KETCHIKAN, AK
11,KET,KETCHIKAN, AK
12,MOS,MOSES POINT INTERMEDIATE, AK
13,NIK,NIKISKI, AK
14,NOM,NOM, AK
15,PKC,POKER CREEK, AK
16,ORI,PORT LIONS SPB, AK
17,SKA,SKAGWAY, AK
18,SNP,ST. PAUL ISLAND, AK
19,TKI,TOKEEN, AK
20,WRA,WRANGELL, AK
21,HSV,MADISON COUNTY - HUNTSVILLE, AL
22,MOB,MOBILE, AL
23,LIA,LITTLE ROCK, AR (BPS)
24,ROG,ROGERS ARPT, AR
25,DOU,DOUGLAS, AZ
26,LUK,LUKEVILLE, AZ
27,MAP,MARIPOSA AZ,MARIPOSA AZ
28,NAC,NACO, AZ
29,NOG,NOGALES, AZ
30,PHO,PHOENIX, AZ
31,POR,PORTAL, AZ
32,SLU,SAN LUIS, AZ
33,SAS,SASABE, AZ
34,TUC,TUCSON, AZ
35,YUI,YUMA, AZ
36,AND,ANDRADE, CA
37,BUR,BURBANK, CA
38,CAL,CALEXICO, CA
39,CAO,CAMPO, CA
40,FRE,FRESNO, CA
41,ICP,IMPERIAL COUNTY, CA
42,LNB,LONG BEACH, CA
43,LOS,LOS ANGELES, CA
44,BFL,MEADOWS FIELD - BAKERSFIELD, CA
45,OAK,OAKLAND, CA
46,ONT,ONTARIO, CA
47,OTM,OTAY MESA, CA
48,BLT,PACIFIC, CA
49,PSP,PALM SPRINGS, CA
50,SAC,SACRAMENTO, CA
51,SLS,SALINAS, CA (BPS)
52,SDP,SAN DIEGO, CA
53,SFR,SAN FRANCISCO, CA
54,SNJ,SAN JOSE, CA
55,SLO,SAN LUIS OBISPO, CA
56,SLI,SAN LUIS OBISPO, CA (BPS)
57,SPC,SAN PEDRO, CA
58,SYS,SAN YSIDRO, CA
59,SAA,SANTA ANA, CA
60,STO,STOCKTON, CA (BPS)
61,TEC,TECATE, CA
62,TRV,TRAVIS-AFB, CA
63,APA,ARAPAHOE COUNTY, CO
64,ASE,ASPEN, CO #ARPT
65,COS,COLORADO SPRINGS, CO
66,DEN,DENVER, CO
67,DRO,LA PLATA - DURANGO, CO
68,BDL,BRADLEY INTERNATIONAL, CT
69,BGC,BRIDGEPORT, CT
70,GRT,GROTON, CT
71,HAR,HARTFORD, CT
72,NWH,NEW HAVEN, CT
73,NWL,NEW LONDON, CT
74,TST,NEWINGTON DATA CENTER TEST, CT
75,WAS,WASHINGTON DC,WASHINGTON DC
76,DOV,DOVER AFB, DE
77,DVD,DOVER-AFB, DE
78,WLL,WILMINGTON, DE
79,BOC,BOCAGRANDE, FL
80,SRQ,BRADENTON - SARASOTA, FL
81,CAN,CAPE CANAVERAL, FL
82,DAB,DAYTONA BEACH INTERNATIONAL, FL
83,FRN,FERNANDINA, FL
84,FTL,FORT LAUDERDALE, FL
85,FMY,FORT MYERS, FL
86,FPF,FORT PIERCE, FL
87,HUR,HURLBURT FIELD, FL
88,GNV,J R ALISON MUNI - GAINESVILLE, FL
89,JAC,JACKSONVILLE, FL
90,KEY,KEY WEST, FL
91,LEE,LEESBURG MUNICIPAL AIRPORT, FL
92,MLB,MELBOURNE, FL
93,MIA,MIAMI, FL
94,APF,NAPLES, FL #ARPT
95,OPF,OPA LOCKA, FL
96,ORL,ORLANDO, FL
97,PAN,PANAMA CITY, FL
98,PEN,PENSACOLA, FL
99,PCF,PORT CANAVERAL, FL
100,PEV,PORT EVERGLADES, FL
101,PSJ,PORT ST JOE, FL
102,SFB,SANFORD, FL
103,SGJ,ST AUGUSTINE ARPT, FL
104,SAU,ST AUGUSTINE, FL
105,FPR,ST LUCIE COUNTY, FL
106,SPE,ST PETERSBURG, FL
107,TAM,TAMPA, FL
108,WPB,WEST PALM BEACH, FL
109,ATL,ATLANTA, GA
110,BRU,BRUNSWICK, GA
111,AGS,BUSH FIELD - AUGUSTA, GA
112,SAV,SAVANNAH, GA
113,AGA,AGANA, GU
114,HHW,HONOLULU, HI
115,OGG,KAHULUI - MAUI, HI
116,KOA,KEAHOLE-KONA, HI
117,LIH,LIHUE, HI
118,CID,CEDAR RAPIDS/IOWA CITY, IA
119,DSM,DES MOINES, IA
120,BOI,AIR TERM. (GOWEN FLD) BOISE, ID
121,EPI,EASTPORT, ID
122,IDA,FANNING FIELD - IDAHO FALLS, ID
123,PTL,PORTHILL, ID
124,SPI,CAPITAL - SPRINGFIELD, IL
125,CHI,CHICAGO, IL
126,DPA,DUPAGE COUNTY, IL
127,PIA,GREATER PEORIA, IL
128,RFD,GREATER ROCKFORD, IL
129,UGN,MEMORIAL - WAUKEGAN, IL
130,GAR,GARY, IN
131,HMM,HAMMOND, IN
132,INP,INDIANAPOLIS, IN
133,MRL,MERRILLVILLE, IN
134,SBN,SOUTH BEND, IN
135,ICT,MID-CONTINENT - WITCHITA, KS
136,LEX,BLUE GRASS - LEXINGTON, KY
137,LOU,LOUISVILLE, KY
138,BTN,BATON ROUGE, LA
139,LKC,LAKE CHARLES, LA
140,LAK,LAKE CHARLES, LA (BPS)
141,MLU,MONROE, LA
142,MGC,MORGAN CITY, LA
143,NOL,NEW ORLEANS, LA
144,BOS,BOSTON, MA
145,GLO,GLOUCESTER, MA
146,BED,HANSCOM FIELD - BEDFORD, MA
147,LYN,LYNDEN, WA
148,ADW,ANDREWS AFB, MD
149,BAL,BALTIMORE, MD
150,MKG,MUSKEGON, MD
151,PAX,PATUXENT RIVER, MD
152,BGM,BANGOR, ME
153,BOO,BOOTHBAY HARBOR, ME
154,BWM,BRIDGEWATER, ME
155,BCK,BUCKPORT, ME
156,CLS,CALAIS, ME
157,CRB,CARIBOU, ME
158,COB,COBURN GORE, ME
159,EST,EASTCOURT, ME
160,EPT,EASTPORT MUNICIPAL, ME
161,EPM,EASTPORT, ME
162,FOR,FOREST CITY, ME
163,FTF,FORT FAIRFIELD, ME
164,FTK,FORT KENT, ME
165,HML,HAMIIN, ME
166,HTM,HOULTON, ME
167,JKM,JACKMAN, ME
168,KAL,KALISPEL, MT
169,LIM,LIMESTONE, ME
170,LUB,LUBEC, ME
171,MAD,MADAWASKA, ME
172,POM,PORTLAND, ME
173,RGM,RANGELEY, ME (BPS)
174,SBR,SOUTH BREWER, ME
175,SRL,ST AURELIE, ME
176,SPA,ST PAMPILE, ME
177,VNB,VAN BUREN, ME
178,VCB,VANCEBORO, ME
179,AGN,ALGONAC, MI
180,ALP,ALPENA, MI
181,BCY,BAY CITY, MI
182,DET,DETROIT, MI
183,GRP,GRAND RAPIDS, MI
184,GRO,GROSSE ISLE, MI
185,ISL,ISLE ROYALE, MI
186,MRC,MARINE CITY, MI
187,MRY,MARYSVILLE, MI
188,PTK,OAKLAND COUNTY - PONTIAC, MI
189,PHU,PORT HURON, MI
190,RBT,ROBERTS LANDING, MI
191,SAG,SAGINAW, MI
192,SSM,SAULT STE. MARIE, MI
193,SCL,ST CLAIR, MI
194,YIP,WILLOW RUN - YPSILANTI, MI
195,BAU,BAUDETTE, MN
196,CAR,CARIBOU MUNICIPAL AIRPORT, MN
197,GTF,Collapsed into INT, MN
198,INL,Collapsed into INT, MN
199,CRA,CRANE LAKE, MN
200,MIC,CRYSTAL MUNICIPAL AIRPORT, MN
201,DUL,DULUTH, MN
202,ELY,ELY, MN
203,GPM,GRAND PORTAGE, MN
204,SVC,GRANT COUNTY - SILVER CITY, MN
205,INT,INT''L FALLS, MN
206,LAN,LANCASTER, MN
207,MSP,MINN./ST PAUL, MN
208,LIN,NORTHERN SVC CENTER, MN
209,NOY,NOYES, MN
210,PIN,PINE CREEK, MN
211,48Y,PINECREEK BORDER ARPT, MN
212,RAN,RAINER, MN
213,RST,ROCHESTER, MN
214,ROS,ROSEAU, MN
215,SPM,ST PAUL, MN
216,WSB,WARROAD INTL, MN
217,WAR,WARROAD, MN
218,KAN,KANSAS CITY, MO
219,SGF,SPRINGFIELD-BRANSON, MO
220,STL,ST LOUIS, MO
221,WHI,WHITETAIL, MT
222,WHM,WILD HORSE, MT
223,GPT,BILOXI REGIONAL, MS
224,GTR,GOLDEN TRIANGLE LOWNDES CNTY, MS
225,GUL,GULFPORT, MS
226,PAS,PASCAGOULA, MS
227,JAN,THOMPSON FIELD - JACKSON, MS
228,BIL,BILLINGS, MT
229,BTM,BUTTE, MT
230,CHF,CHIEF MT, MT
231,CTB,CUT BANK MUNICIPAL, MT
232,CUT,CUT BANK, MT
233,DLB,DEL BONITA, MT
234,EUR,EUREKA, MT (BPS)
235,BZN,GALLATIN FIELD - BOZEMAN, MT
236,FCA,GLACIER NATIONAL PARK, MT
237,GGW,GLASGOW, MT
238,GRE,GREAT FALLS, MT
239,HVR,HAVRE, MT
240,HEL,HELENA, MT
241,LWT,LEWISTON, MT
242,MGM,MORGAN, MT
243,OPH,OPHEIM, MT
244,PIE,PIEGAN, MT
245,RAY,RAYMOND, MT
246,ROO,ROOSVILLE, MT
247,SCO,SCOBEY, MT
248,SWE,SWEETGTASS, MT
249,TRL,TRIAL CREEK, MT
250,TUR,TURNER, MT
251,WCM,WILLOW CREEK, MT
252,CLT,CHARLOTTE, NC
253,FAY,FAYETTEVILLE, NC
254,MRH,MOREHEAD CITY, NC
255,FOP,MORRIS FIELDS AAF, NC
256,GSO,PIEDMONT TRIAD INTL AIRPORT, NC
257,RDU,RALEIGH/DURHAM, NC
258,SSC,SHAW AFB - SUMTER, NC
259,WIL,WILMINGTON, NC
260,AMB,AMBROSE, ND
261,ANT,ANTLER, ND
262,CRY,CARBURY, ND
263,DNS,DUNSEITH, ND
264,FAR,FARGO, ND
265,FRT,FORTUNA, ND
266,GRF,GRAND FORKS, ND
267,HNN,HANNAH, ND
268,HNS,HANSBORO, ND
269,MAI,MAIDA, ND
270,MND,MINOT, ND
271,NEC,NECHE, ND
272,NOO,NOONAN, ND
273,NRG,NORTHGATE, ND
274,PEM,PEMBINA, ND
275,SAR,SARLES, ND
276,SHR,SHERWOOD, ND
277,SJO,ST JOHN, ND
278,WAL,WALHALLA, ND
279,WHO,WESTHOPE, ND
280,WND,WILLISTON, ND
281,OMA,OMAHA, NE
282,LEB,LEBANON, NH
283,MHT,MANCHESTER, NH
284,PNH,PITTSBURG, NH
285,PSM,PORTSMOUTH, NH
286,BYO,BAYONNE, NJ
287,CNJ,CAMDEN, NJ
288,HOB,HOBOKEN, NJ
289,JER,JERSEY CITY, NJ
290,WRI,MC GUIRE AFB - WRIGHTSOWN, NJ
291,MMU,MORRISTOWN, NJ
292,NEW,NEWARK/TETERBORO, NJ
293,PER,PERTH AMBOY, NJ
294,ACY,POMONA FIELD - ATLANTIC CITY, NJ
295,ALA,ALAMAGORDO, NM (BPS)
296,ABQ,ALBUQUERQUE, NM
297,ANP,ANTELOPE WELLS, NM
298,CRL,CARLSBAD, NM
299,COL,COLUMBUS, NM
300,CDD,CRANE LAKE - ST. LOUIS CNTY, NM
301,DNM,DEMING, NM (BPS)
302,LAS,LAS CRUCES, NM
303,LOB,LORDSBURG, NM (BPS)
304,RUI,RUIDOSO, NM
305,STR,SANTA TERESA, NM
306,RNO,CANNON INTL - RENO/TAHOE, NV
307,FLX,FALLON MUNICIPAL AIRPORT, NV
308,LVG,LAS VEGAS, NV
309,REN,RENO, NV
310,ALB,ALBANY, NY
311,AXB,ALEXANDRIA BAY, NY
312,BUF,BUFFALO, NY
313,CNH,CANNON CORNERS, NY
314,CAP,CAPE VINCENT, NY
315,CHM,CHAMPLAIN, NY
316,CHT,CHATEAUGAY, NY
317,CLA,CLAYTON, NY
318,FTC,FORT COVINGTON, NY
319,LAG,LA GUARDIA, NY
320,LEW,LEWISTON, NY
321,MAS,MASSENA, NY
322,MAG,MCGUIRE AFB, NY
323,MOO,MOORES, NY
324,MRR,MORRISTOWN, NY
325,NYC,NEW YORK, NY
326,NIA,NIAGARA FALLS, NY
327,OGD,OGDENSBURG, NY
328,OSW,OSWEGO, NY
329,ELM,REGIONAL ARPT - HORSEHEAD, NY
330,ROC,ROCHESTER, NY
331,ROU,ROUSES POINT, NY
332,SWF,STEWART - ORANGE CNTY, NY
333,SYR,SYRACUSE, NY
334,THO,THOUSAND ISLAND BRIDGE, NY
335,TRO,TROUT RIVER, NY
336,WAT,WATERTOWN, NY
337,HPN,WESTCHESTER - WHITE PLAINS, NY
338,WRB,WHIRLPOOL BRIDGE, NY
339,YOU,YOUNGSTOWN, NY
340,AKR,AKRON, OH
341,ATB,ASHTABULA, OH
342,CIN,CINCINNATI, OH
343,CLE,CLEVELAND, OH
344,CLM,COLUMBUS, OH
345,LOR,LORAIN, OH
346,MBO,MARBLE HEADS, OH
347,SDY,SANDUSKY, OH
348,TOL,TOLEDO, OH
349,OKC,OKLAHOMA CITY, OK
350,TUL,TULSA, OK
351,AST,ASTORIA, OR
352,COO,COOS BAY, OR
353,HIO,HILLSBORO, OR
354,MED,MEDFORD, OR
355,NPT,NEWPORT, OR
356,POO,PORTLAND, OR
357,PUT,PUT-IN-BAY, OH
358,RDM,ROBERTS FIELDS - REDMOND, OR
359,ERI,ERIE, PA
360,MDT,HARRISBURG, PA
361,HSB,HARRISONBURG, PA
362,PHI,PHILADELPHIA, PA
363,PIT,PITTSBURG, PA
364,AGU,AGUADILLA, PR
365,BQN,BORINQUEN - AGUADILLO, PR
366,JCP,CULEBRA - BENJAMIN RIVERA, PR
367,ENS,ENSENADA, PR
368,FAJ,FAJARDO, PR
369,HUM,HUMACAO, PR
370,JOB,JOBOS, PR
371,MAY,MAYAGUEZ, PR
372,PON,PONCE, PR
373,PSE,PONCE-MERCEDITA, PR
374,SAJ,SAN JUAN, PR
375,VQS,VIEQUES-ARPT, PR
376,PRO,PROVIDENCE, RI
377,PVD,THEODORE FRANCIS - WARWICK, RI
378,CHL,CHARLESTON, SC
379,CAE,COLUMBIA, SC #ARPT
380,GEO,GEORGETOWN, SC
381,GSP,GREENVILLE, SC
382,GRR,GREER, SC
383,MYR,MYRTLE BEACH, SC
384,SPF,BLACK HILLS, SD
385,HON,HOWES REGIONAL ARPT - HURON, SD
386,SAI,SAIPAN, SPN
387,TYS,MC GHEE TYSON - ALCOA, TN
388,MEM,MEMPHIS, TN
389,NSV,NASHVILLE, TN
390,TRI,TRI CITY ARPT, TN
391,ADS,ADDISON AIRPORT- ADDISON, TX
392,ADT,AMISTAD DAM, TX
393,ANZ,ANZALDUAS, TX
394,AUS,AUSTIN, TX
395,BEA,BEAUMONT, TX
396,BBP,BIG BEND PARK, TX (BPS)
397,SCC,BP SPEC COORD. CTR, TX
398,BTC,BP TACTICAL UNIT, TX
399,BOA,BRIDGE OF AMERICAS, TX
400,BRO,BROWNSVILLE, TX
401,CRP,CORPUS CHRISTI, TX
402,DAL,DALLAS, TX
403,DLR,DEL RIO, TX
404,DNA,DONNA, TX
405,EGP,EAGLE PASS, TX
406,ELP,EL PASO, TX
407,FAB,FABENS, TX
408,FAL,FALCON HEIGHTS, TX
409,FTH,FORT HANCOCK, TX
410,AFW,FORT WORTH ALLIANCE, TX
411,FPT,FREEPORT, TX
412,GAL,GALVESTON, TX
413,HLG,HARLINGEN, TX
414,HID,HIDALGO, TX
415,HOU,HOUSTON, TX
416,SGR,HULL FIELD, TX
417,LLB,JUAREZ-LINCOLN BRIDGE, TX
418,LCB,LAREDO COLUMBIA BRIDGE, TX
419,LRN,LAREDO NORTH, TX
420,LAR,LAREDO, TX
421,LSE,LOS EBANOS, TX
422,IND,LOS INDIOS, TX
423,LOI,LOS INDIOS, TX
424,MRS,MARFA, TX (BPS)
425,MCA,MCALLEN, TX
426,MAF,ODESSA REGIONAL, TX
427,PDN,PASO DEL NORTE,TX
428,PBB,PEACE BRIDGE, NY
429,PHR,PHARR, TX
430,PAR,PORT ARTHUR, TX
431,ISB,PORT ISABEL, TX
432,POE,PORT OF EL PASO, TX
433,PRE,PRESIDIO, TX
434,PGR,PROGRESO, TX
435,RIO,RIO GRANDE CITY, TX
436,ROM,ROMA, TX
437,SNA,SAN ANTONIO, TX
438,SNN,SANDERSON, TX
439,VIB,VETERAN INTL BRIDGE, TX
440,YSL,YSLETA, TX
441,CHA,CHARLOTTE AMALIE, VI
442,CHR,CHRISTIANSTED, VI
443,CRU,CRUZ BAY, VI
444,FRK,FREDERIKSTED, VI
445,STT,ST THOMAS, VI
446,LGU,CACHE AIRPORT - LOGAN, UT
447,SLC,SALT LAKE CITY, UT
448,CHO,ALBEMARLE CHARLOTTESVILLE, VA
449,DAA,DAVISON AAF - FAIRFAX CNTY, VA
450,HOP,HOPEWELL, VA
451,HEF,MANASSAS, VA #ARPT
452,NWN,NEWPORT, VA
453,NOR,NORFOLK, VA
454,RCM,RICHMOND, VA
455,ABS,ALBURG SPRINGS, VT
456,ABG,ALBURG, VT
457,BEB,BEEBE PLAIN, VT
458,BEE,BEECHER FALLS, VT
459,BRG,BURLINGTON, VT
460,CNA,CANAAN, VT
461,DER,DERBY LINE, VT (I-91)
462,DLV,DERBY LINE, VT (RT. 5)
463,ERC,EAST RICHFORD, VT
464,HIG,HIGHGATE SPRINGS, VT
465,MOR,MORSES LINE, VT
466,NPV,NEWPORT, VT
467,NRT,NORTH TROY, VT
468,NRN,NORTON, VT
469,PIV,PINNACLE ROAD, VT
470,RIF,RICHFORT, VT
471,STA,ST ALBANS, VT
472,SWB,SWANTON, VT (BP - SECTOR HQ)
473,WBE,WEST BERKSHIRE, VT
474,ABE,ABERDEEN, WA
475,ANA,ANACORTES, WA
476,BEL,BELLINGHAM, WA
477,BLI,BELLINGHAM, WASHINGTON #INTL
478,BLA,BLAINE, WA
479,BWA,BOUNDARY, WA
480,CUR,CURLEW, WA (BPS)
481,DVL,DANVILLE, WA
482,EVE,EVERETT, WA
483,FER,FERRY, WA
484,FRI,FRIDAY HARBOR, WA
485,FWA,FRONTIER, WA
486,KLM,KALAMA, WA
487,LAU,LAURIER, WA
488,LON,LONGVIEW, WA
489,MET,METALINE FALLS, WA
490,MWH,MOSES LAKE GRANT COUNTY ARPT, WA
491,NEA,NEAH BAY, WA
492,NIG,NIGHTHAWK, WA
493,OLY,OLYMPIA, WA
494,ORO,OROVILLE, WA
495,PWB,PASCO, WA
496,PIR,POINT ROBERTS, WA
497,PNG,PORT ANGELES, WA
498,PTO,PORT TOWNSEND, WA
499,SEA,SEATTLE, WA
500,SPO,SPOKANE, WA
501,SUM,SUMAS, WA
502,TAC,TACOMA, WA
503,PSC,TRI-CITIES - PASCO, WA
504,VAN,VANCOUVER, WA
505,AGM,ALGOMA, WI
506,BAY,BAYFIELD, WI
507,GRB,GREEN BAY, WI
508,MNW,MANITOWOC, WI
509,MIL,MILWAUKEE, WI
510,MSN,TRUAX FIELD - DANE COUNTY, WI
511,CHS,CHARLESTON, WV
512,CLK,CLARKSBURG, WV
513,BLF,MERCER COUNTY, WV
514,CSP,CASPER, WY
515,XXX,NOT REPORTED/UNKNOWN,NOT REPORTED/UNKNOWN
516,888,UNIDENTIFED AIR / SEAPORT,UNIDENTIFED AIR / SEAPORT
517,UNK,UNKNOWN POE,UNKNOWN POE
518,CLG,CALGARY, CANADA
519,EDA,EDMONTON, CANADA
520,YHC,HAKAI PASS, CANADA
521,HAL,Halifax, Canada
522,MON,MONTREAL, CANADA
523,OTT,OTTAWA, CANADA
524,YXE,SASKATOON, CANADA
525,TOR,TORONTO, CANADA
526,VCV,VANCOUVER, CANADA
527,VIC,VICTORIA, CANADA
528,WIN,WINNIPEG, CANADA
529,AMS,AMSTERDAM-SCHIPHOL, NETHERLANDS
530,ARB,ARUBA, NETH ANTILLES
531,BAN,BANKOK, THAILAND
532,BEI,BEICA #ARPT, ETHIOPIA
533,PEK,BEIJING CAPITAL INTL, PRC
534,BDA,KINDLEY FIELD, BERMUDA
535,BOG,BOGOTA, COLOMBIA
536,EZE,BUENOS AIRES, ARGENTINA
537,CUN,CANCUN, MEXICO
538,CRQ,CARAVELAS, BRAZIL
539,MVD,CARRASCO, URUGUAY
